epoch,batch,td_loss,supervised_loss,total_loss,elapsed_min
1,50,0.04854006692767143,0.9296650290489197,0.9782050848007202,1.37
1,100,0.018044957891106606,0.8161119818687439,0.8341569304466248,2.74
1,150,0.01818487048149109,0.7757000923156738,0.7938849925994873,4.10
1,200,0.06224838271737099,0.6638080477714539,0.7260564565658569,5.46
2,50,0.04289477318525314,0.5495647192001343,0.592459499835968,7.66
1,50,0.05783836543560028,0.5044478178024292,0.5622861981391907,0.20
1,100,0.03979180008172989,0.469937801361084,0.5097296237945557,0.40
1,150,0.04015353322029114,0.45023590326309204,0.4903894364833832,0.60
1,200,0.04549039900302887,0.45983925461769104,0.5053296685218811,0.80
2,50,0.04439333826303482,0.46250027418136597,0.5068936347961426,1.12
2,100,0.049162425100803375,0.44838082790374756,0.49754324555397034,1.31
2,150,0.052974969148635864,0.40886634588241577,0.46184131503105164,1.51
2,200,0.030900893732905388,0.38664689660072327,0.4175477921962738,1.71
3,50,0.046126704663038254,0.3811005651950836,0.427227258682251,2.03
3,100,0.0504581481218338,0.385721892118454,0.436180055141449,2.23
3,150,0.05188721418380737,0.37591078877449036,0.42779800295829773,2.43
3,200,0.0525936558842659,0.38748762011528015,0.44008126854896545,2.63
4,50,0.03739480674266815,0.3264425992965698,0.36383742094039917,2.95
4,100,0.04549157992005348,0.3852368891239166,0.4307284653186798,3.15
4,150,0.03695019334554672,0.35409119725227356,0.3910413980484009,3.35
4,200,0.03596511855721474,0.34464311599731445,0.3806082308292389,3.55
5,50,0.026434948667883873,0.3056465983390808,0.33208155632019043,3.87
5,100,0.03065580688416958,0.3154414892196655,0.34609729051589966,4.07
5,150,0.031933367252349854,0.33342331647872925,0.3653566837310791,4.27
5,200,0.034555524587631226,0.38382458686828613,0.41838011145591736,4.47
6,50,0.04367580637335777,0.3074684143066406,0.3511442244052887,4.79
6,100,0.0339413657784462,0.3568388819694519,0.3907802402973175,5.00
6,150,0.0383395254611969,0.379968523979187,0.4183080494403839,5.20
